labels(n),n,keys(n)
"[""owl:Thing""]","{""name"":""owl:Thing""}","[""name""]"
"[""Class""]","{""name"":""GripperEffector""}","[""name""]"
"[""Class""]","{""name"":""EndEffector""}","[""name""]"
"[""Class""]","{""name"":""BoxVolume""}","[""name""]"
"[""Class""]","{""name"":""DataThing""}","[""name""]"
"[""Class""]","{""name"":""StockKeepingUnit""}","[""name""]"
"[""Class""]","{""name"":""Pose""}","[""name""]"
"[""Class""]","{""name"":""VacuumEffectorSingleGrasp""}","[""name""]"
"[""Class""]","{""name"":""EndEffectorGrasp""}","[""name""]"
"[""Class""]","{""name"":""CylindricalShape""}","[""name""]"
"[""CylindricalShape""]","{""hasCylindricalShape_HasTop"":""\""false\"""",""hasCylindricalShape_Diameter"":""\""0.100000\"""",""name"":""shape_part_large_gear"",""hasCylindricalShape_Height"":""\""0.040000\"""",""type"":""individual"",""hasShapeDesign_Description"":""\""Shape of large gears\""""}","[""hasCylindricalShape_Diameter"",""hasCylindricalShape_HasTop"",""hasShapeDesign_Description"",""type"",""hasCylindricalShape_Height"",""name""]"
"[""CylindricalShape""]","{""hasCylindricalShape_HasTop"":""\""false\"""",""hasCylindricalShape_Diameter"":""\""0.070000\"""",""name"":""shape_part_medium_gear"",""hasCylindricalShape_Height"":""\""0.040000\"""",""type"":""individual"",""hasShapeDesign_Description"":""\""Shape of medium gears\""""}","[""hasCylindricalShape_Diameter"",""hasCylindricalShape_HasTop"",""hasShapeDesign_Description"",""type"",""hasCylindricalShape_Height"",""name""]"
"[""Class""]","{""name"":""Slot""}","[""name""]"
"[""Slot""]","{""name"":""kit_m2l1_vessel_2_slot_mg_2"",""hasSlot_ID"":""\""2\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""false\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""PartRefAndPose""]","{""name"":""part_ref_and_pose_kit_m2l1_vessel_mg_2"",""type"":""individual""}","[""name"",""type""]"
"[""Slot""]","{""name"":""kit_m2l1_vessel_2_slot_mg_1"",""hasSlot_ID"":""\""1\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""false\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""PartRefAndPose""]","{""name"":""part_ref_and_pose_kit_m2l1_vessel_mg_1"",""type"":""individual""}","[""name"",""type""]"
"[""Slot""]","{""name"":""medium_gear_vessel_1_slot_2"",""hasSlot_ID"":""\""2\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""true\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""PartRefAndPose""]","{""name"":""part_ref_and_pose_medium_gear_vessel_mg_2"",""type"":""individual""}","[""name"",""type""]"
"[""Slot""]","{""name"":""large_gear_vessel_1_slot_2"",""hasSlot_ID"":""\""2\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""true\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""PartRefAndPose""]","{""name"":""part_ref_and_pose_large_gear_vessel_lg_2"",""type"":""individual""}","[""name"",""type""]"
"[""Slot""]","{""name"":""medium_gear_vessel_1_slot_3"",""hasSlot_ID"":""\""3\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""true\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""PartRefAndPose""]","{""name"":""part_ref_and_pose_medium_gear_vessel_mg_3"",""type"":""individual""}","[""name"",""type""]"
"[""Slot""]","{""name"":""kit_m2l1_vessel_1_slot_mg_1"",""hasSlot_ID"":""\""1\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""false\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""Slot""]","{""name"":""medium_gear_vessel_1_slot_4"",""hasSlot_ID"":""\""4\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""true\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""PartRefAndPose""]","{""name"":""part_ref_and_pose_medium_gear_vessel_mg_4"",""type"":""individual""}","[""name"",""type""]"
"[""Slot""]","{""name"":""kit_m2l1_vessel_1_slot_mg_2"",""hasSlot_ID"":""\""2\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""false\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""Slot""]","{""name"":""large_gear_vessel_1_slot_1"",""hasSlot_ID"":""\""1\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""true\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""PartRefAndPose""]","{""name"":""part_ref_and_pose_large_gear_vessel_lg_1"",""type"":""individual""}","[""name"",""type""]"
"[""Slot""]","{""name"":""kit_m2l1_vessel_1_slot_lg_1"",""hasSlot_ID"":""\""3\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""false\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""PartRefAndPose""]","{""name"":""part_ref_and_pose_kit_m2l1_vessel_lg_1"",""type"":""individual""}","[""name"",""type""]"
"[""Slot""]","{""name"":""kit_m2l1_vessel_2_slot_lg_1"",""hasSlot_ID"":""\""3\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""false\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""Slot""]","{""name"":""medium_gear_vessel_1_slot_1"",""hasSlot_ID"":""\""1\"""",""type"":""individual"",""hasSlot_IsOccupied"":""\""true\""""}","[""hasSlot_ID"",""type"",""hasSlot_IsOccupied"",""name""]"
"[""PartRefAndPose""]","{""name"":""part_ref_and_pose_medium_gear_vessel_mg_1"",""type"":""individual""}","[""name"",""type""]"
"[""Class""]","{""name"":""PoseOnlyLocation""}","[""name""]"
"[""Class""]","{""name"":""PoseLocation""}","[""name""]"
"[""Class""]","{""name"":""GripperTwoJaws""}","[""name""]"
