Nodetype,Name,propertiesMap
BoxVolume,box_volume_1,"[""name"",""type""]"
BoxyShape,shape_large_gear_parts_tray,"[""hasBoxyShape_Length"",""hasBoxyShape_Height"",""hasBoxyShape_HasTop"",""type"",""hasBoxyShape_Width"",""name"",""hasShapeDesign_Description""]"
BoxyShape,shape_fanuc_cart,"[""hasBoxyShape_HasTop"",""hasBoxyShape_Length"",""hasShapeDesign_Description"",""hasBoxyShape_Width"",""hasBoxyShape_Height"",""name"",""type""]"
BoxyShape,shape_medium_gear_parts_tray,"[""hasBoxyShape_Length"",""hasBoxyShape_Height"",""hasBoxyShape_HasTop"",""type"",""hasBoxyShape_Width"",""name"",""hasShapeDesign_Description""]"
BoxyShape,shape_kit_tray_m2l1,"[""hasBoxyShape_Length"",""hasBoxyShape_Height"",""hasBoxyShape_HasTop"",""type"",""hasBoxyShape_Width"",""name"",""hasShapeDesign_Description""]"
Class,PartsVessel,"[""name""]"
Class,VacuumEffectorSingleGrasp,"[""name""]"
Class,PhysicalLocation,"[""name""]"
Class,Robot,"[""name""]"
Class,SolidObject,"[""name""]"
Class,LargeContainer,"[""name""]"
Class,LargeBoxWithPartsTrays,"[""name""]"
Class,InternalShape,"[""name""]"
Class,VacuumEffector,"[""name""]"
Class,EndEffectorGrasp,"[""name""]"
Class,LargeBoxWithEmptyVessels,"[""name""]"
Class,VacuumEffectorSingleCup,"[""name""]"
Class,PartsTray,"[""name""]"
Class,PoseLocationIn,"[""name""]"
Class,PartsBin,"[""name""]"
Class,PartRefAndPose,"[""name""]"
Class,VacuumEffectorMultiCup,"[""name""]"
Class,EndEffector,"[""name""]"
Class,RelativeLocationOn,"[""name""]"
Class,ParallelGripperGrasp,"[""name""]"
Class,GripperParallel,"[""name""]"
Class,TwoJawsGrasp,"[""name""]"
Class,MechanicalComponent,"[""name""]"
Class,RelativeLocationIn,"[""name""]"
Class,EndEffectorChangingStation,"[""name""]"
Class,GripperEffector,"[""name""]"
Class,MarkingLayout,"[""name""]"
Class,Pose,"[""name""]"
Class,DataThing,"[""name""]"
Class,StockKeepingUnit,"[""name""]"
Class,Slot,"[""name""]"
Class,KittingWorkstation,"[""name""]"
Class,BoxyShape,"[""name""]"
Class,ShapeDesign,"[""name""]"
Class,EndEffectorHolder,"[""name""]"
Class,Part,"[""name""]"
Class,GripperThreeFinger,"[""name""]"
Class,NoSkuObject,"[""name""]"
Class,Vector,"[""name""]"
Class,GripperOther,"[""name""]"
Class,GripperTwoJaws,"[""name""]"
Class,PoseOnlyLocation,"[""name""]"
Class,PartsTrayDesign,"[""name""]"
Class,ThreeFingerGrasp,"[""name""]"
Class,Point,"[""name""]"
Class,BoxVolume,"[""name""]"
Class,PoseTolerance,"[""name""]"
Class,ExternalShape,"[""name""]"
Class,SkuObject,"[""name""]"
Class,OtherGripperGrasp,"[""name""]"
Class,Marking,"[""name""]"
Class,PoseLocation,"[""name""]"
Class,WorkTable,"[""name""]"
Class,Human,"[""name""]"
Class,MarkingModel,"[""name""]"
Class,PoseLocationOn,"[""name""]"
Class,CylindricalShape,"[""name""]"
Class,Polygon2D,"[""name""]"
CylindricalShape,shape_part_large_gear,"[""hasCylindricalShape_Diameter"",""hasCylindricalShape_HasTop"",""hasShapeDesign_Description"",""type"",""hasCylindricalShape_Height"",""name""]"
CylindricalShape,shape_part_medium_gear,"[""hasCylindricalShape_Diameter"",""hasCylindricalShape_HasTop"",""hasShapeDesign_Description"",""type"",""hasCylindricalShape_Height"",""name""]"
ExternalShape,external_shape_part_large_gear,"[""hasExternalShape_ModelFileName"",""hasExternalShape_ModelFormatName"",""type"",""hasShapeDesign_Description"",""name""]"
ExternalShape,external_shape_part_medium_gear,"[""hasExternalShape_ModelFileName"",""hasExternalShape_ModelFormatName"",""type"",""hasShapeDesign_Description"",""name""]"
ExternalShape,external_shape_medium_gear_vessel,"[""hasExternalShape_ModelFileName"",""hasExternalShape_ModelFormatName"",""type"",""hasShapeDesign_Description"",""name""]"
ExternalShape,external_shape_large_gear_vessel,"[""hasExternalShape_ModelFileName"",""hasExternalShape_ModelFormatName"",""type"",""hasShapeDesign_Description"",""name""]"
ExternalShape,external_shape_kit_m2l1,"[""hasExternalShape_ModelFileName"",""hasExternalShape_ModelFormatName"",""type"",""hasShapeDesign_Description"",""name""]"
GripperTwoJaws,part_gripper,"[""hasEndEffector_Description"",""hasNoSkuObject_Weight"",""hasEndEffector_MaximumLoadWeight"",""name"",""type""]"
KittingWorkstation,fanuc_workstation,"[""hasKittingWorkstation_AngleUnit"",""hasKittingWorkstation_WeightUnit"",""hasKittingWorkstation_LengthUnit"",""name"",""type""]"
Part,empty_slot_for_large_gear_in_large_gear_vessel_2,"[""name"",""visioncycle""]"
Part,empty_slot_1_for_large_gear_in_kit_m2l1_vessel_1,"[""name"",""visioncycle""]"
Part,part_large_gear_3,"[""name"",""visioncycle""]"
Part,part_large_gear_in_pt_2,"[""name"",""visioncycle""]"
Part,empty_slot_1_for_medium_gear_in_kit_m2l1_vessel_2,"[""name"",""visioncycle""]"
Part,empty_slot_for_medium_gear_in_medium_gear_vessel_1,"[""name"",""visioncycle""]"
Part,empty_slot_2_for_medium_gear_in_kit_m2l1_vessel_1,"[""name"",""visioncycle""]"
Part,part_medium_gear_in_kt_3,"[""name"",""visioncycle""]"
Part,part_medium_gear_2,"[""type"",""hasPart_SerialNumber"",""name"",""visioncycle""]"
Part,part_medium_gear_in_pt_1,"[""name"",""visioncycle""]"
